iter	Passed	Remaining
0	1	171
1	3	160
2	4	153
3	5	139
4	7	140
5	8	139
6	10	139
7	12	138
8	13	137
9	15	135
10	16	133
11	17	131
12	19	128
13	20	127
14	22	126
15	23	124
16	25	125
17	27	124
18	29	125
19	31	124
20	32	122
21	34	120
22	35	119
23	37	119
24	39	118
25	40	116
26	42	114
27	43	112
28	45	110
29	46	109
30	48	107
31	49	105
32	51	104
33	52	102
34	54	100
35	55	98
36	57	97
37	58	95
38	59	93
39	61	91
40	62	90
41	63	87
42	64	85
43	66	84
44	68	83
45	69	81
46	71	80
47	73	79
48	74	77
49	76	76
50	77	74
51	79	73
52	81	72
53	82	70
54	83	68
55	85	66
56	86	65
57	87	63
58	89	62
59	90	60
60	92	58
61	93	57
62	94	55
63	96	54
64	97	52
65	98	50
66	100	49
67	101	47
68	102	46
69	104	44
70	105	43
71	107	41
72	108	40
73	109	38
74	111	37
75	113	35
76	114	34
77	116	32
78	117	31
79	119	29
80	121	28
81	122	26
82	124	25
83	126	24
84	128	22
85	130	21
86	131	19
87	132	18
88	134	16
89	135	15
90	137	13
91	138	12
92	140	10
93	141	9
94	142	7
95	144	6
96	145	4
97	146	2
98	147	1
99	149	0
